soft_id	soft_name	file_name	url	version	file_size	update_time	os_type
12350	QQ2013	QQ2013SP1	http://dlsw.baidu.com/sw-search-sp/soft/3a/12350/QQ2013SP1.exe?version=3941449686	1.96.7968.0	59449016	2013/8/23 17:05	62
15334	tm2013	TM2013Preview1	http://dl1sw.baidu.com/soft/00/15334/TM2013Preview1.exe?version=2953588472	1.88.5482.0	32380952	2013/7/29 18:10	26
12883	QQ拼音输入法	QQPinyin_Setup_4.6.2029.400	http://dlsw.baidu.com/sw-search-sp/soft/2b/12883/QQPinyin_Setup_4.6.2029.400.exe?version=2279004822	4.6.2029.400	28830296	2013/8/15 20:43	58
14247	QQ影音	QQPlayer_3.7.892.400	http://dl1sw.baidu.com/soft/51/14247/QQPlayer_3.7.892.400.exe?version=3560945477	3.7.892.400	27613888	2013/6/9 13:48	62
10547	QQ音乐	QQMusic_Setup_92_923	http://dlsw.baidu.com/sw-search-sp/soft/80/10547/QQMusic_Setup_92_923.exe?version=144618244	9.23.3201.816	14532416	2013/8/19 11:30	62
12934	腾讯视频播放器	QQLive8.51.7195.0	http://dlsw.baidu.com/sw-search-sp/soft/ce/12934/QQLive8.51.7195.0.exe?version=496677786	8.51.7195.0	18360528	2013/8/16 18:44	58
14579	Foxmail	fm712chb36_build_setup	http://dlsw.baidu.com/sw-search-sp/soft/36/14579/fm712chb36_build_setup.exe?version=2539596232	7.1.2.36	24903656	2013/8/16 16:16	30
17379	QQ旋风	QQDownload_Setup_44_755_401	http://dlsw.baidu.com/sw-search-sp/soft/0a/17379/QQDownload_Setup_44_755_401.exe?version=2149892631	4.4.755.401	9715632	2013/8/23 15:10	62
12282	新浪UC2010	SinaUC_Release_8.3.4.22616	http://dl1sw.baidu.com/soft/a2/12282/SinaUC_Release_8.3.4.22616.exe?version=2595393895	8.3.4.22616	19783728	2013/7/10 17:59	30
11383	飞信2013	Fetion2013August	http://dlsw.baidu.com/sw-search-sp/soft/fe/11383/Fetion2013August.exe?version=297444901	4.9.800.0	44572936	2013/8/23 17:32	62
12035	百度Hi	BaiduHi_4.2_Beta	http://dl1sw.baidu.com/soft/9e/12035/BaiduHi_4.2_Beta.exe?version=1792190768	4.2.6.0	15949920	2013/7/5 13:43	26
11825	Tom Skype	SkypeSetup	http://dlsw.baidu.com/sw-search-sp/soft/56/11825/SkypeSetup.exe?version=3215148444	6.6.4.14	27259600	2013/8/22 16:29	26
17170	Windows Live Messenger	Install_WLMessenger2009_14.0.8117.416	http://dlsw.baidu.com/sw-search-sp/soft/4b/17170/Install_WLMessenger2009_14.0.8117.416.exe?version=3672985937	14.0.8117.416	5785152	2013/8/22 15:39	62
15082	KC网络电话	Kc_Mini_2.0.1.0	http://dl1sw.baidu.com/soft/cf/15082/Kc_Mini_2.0.1.0.exe?version=1989007855	2.0.1.0	4747352	2013/7/10 15:08	62
14780	人人桌面	rrsetup_4.67.1.63	http://dlsw.baidu.com/sw-search-sp/soft/96/14780/rrsetup_4.67.1.63.exe?version=2577254209	4.67.1.63	14502144	2013/8/7 14:06	30
13377	网易POPO	POPO-Full-installer	http://dl1sw.baidu.com/soft/07/13377/POPO-Full-installer.exe?version=2987901309	8.0.1.162	14464104	2013/7/10 16:08	30
16382	Google Talk	googletalk-setup_1.0.0.105	http://dl1sw.baidu.com/soft/55/16382/googletalk-setup_1.0.0.105.exe?version=3958009011	1.0.0.105	1343552	2013/7/10 11:46	30
17354	聊聊语音交友	LiaoClient_2.0.8.8	http://dl1sw.baidu.com/soft/a2/17354/LiaoClient_2.0.8.8.exe?version=2005363282	2.0.8.8	20909072	2013/7/10 16:04	62
12690	阿里旺旺2013 卖家版	AliIM2013_2.0.0.1	http://dlsw.baidu.com/sw-search-sp/soft/a8/12690/AliIM2013_2.0.0.1.exe?version=4752206	2.0.0.1	30073704	2013/8/21 13:52	62
14577	ooVoo	ooVooSetup	http://dl1sw.baidu.com/soft/33/14577/ooVooSetup.exe?version=2392908097	3.5.9.41	2512960	2013/7/9 15:55	30
14892	无忧登陆	51LogonV7.1-Setup_7.1.0.508	http://dl1sw.baidu.com/soft/d7/14892/51LogonV7.1-Setup_7.1.0.508.exe?version=1195363052	7.1.0.508	6431621	2013/7/10 17:41	30
14000	YY语音	YYSetup-6.7.0.0-zh-CN	http://dlsw.baidu.com/sw-search-sp/soft/98/14000/YYSetup-6.7.0.0-zh-CN.exe?version=824200155	6.7.0.0	17553088	2013/8/23 12:57	31
17338	Toocle生意通	toocle_3.0.3.0	http://dl1sw.baidu.com/soft/2c/17338/toocle_3.0.3.0.exe?version=3548251701	3.0.3.0	16294824	2013/6/9 13:48	62
12804	Camfrog Video Chat	camfrog_6.5.270.4549	http://dl1sw.baidu.com/soft/a8/12804/camfrog_6.5.270.4549.exe?version=4188244849	6.5.270.4549	7999960	2013/6/20 18:03	30
15838	IS语音	IS_7.2.20509.51	http://dl1sw.baidu.com/soft/9c/15838/IS_7.2.20509.51.exe?version=1069119366	7.2.20509.51	14565448	2013/6/8 13:03	62
11475	滴（Dii）内测版	dii_beta_1.0.0.4	http://dl1sw.baidu.com/soft/1b/11475/dii_beta_1.0.0.4.exe?version=1103785308	1.0.0.4	1673846	2013/7/10 15:56	30
15304	Pidgin	pidgin_2.10.7.0	http://dlsw.baidu.com/sw-search-sp/soft/15/15304/pidgin_2.10.7.0.exe?version=525907902	2.10.7.0	9470216	2013/7/30 15:17	30
13256	Pandion	pandion_setup_2.6.106.0	http://dl1sw.baidu.com/soft/14/13256/pandion_setup_2.6.106.0.msi?version=2641736069	2.6.106.0	1854944	2013/7/9 10:17	30
12264	天翼Live	elive1.16_1.16.0.0	http://dl1sw.baidu.com/soft/2a/12264/elive1.16_1.16.0.0.exe?version=467161976	1.16.0.0	60548655	2013/7/10 17:58	30
15192	网易CC语音	CC_Setup	http://dlsw.baidu.com/sw-search-sp/soft/23/15192/CC_Setup.exe?version=832608723	1.0.0.1	32878432	2013/8/23 16:46	26
15786	VSL LanToucher Network Messeng	lt_1.5.7.4105	http://dlsw.baidu.com/sw-search-sp/soft/63/15786/lt_1.5.7.4105.exe?version=3367793512	1.5.7.4105	3577856	2013/7/30 15:04	14
15817	dudu2010	dudu2010_2.1.0.652	http://dl1sw.baidu.com/soft/1d/15817/dudu2010_2.1.0.652.exe?version=2454465697	2.1.0.652	9022661	2013/6/7 15:36	62
10974	Ttchat	TTliao.exe	http://dl1sw.baidu.com/packages/129.exe	2.2.12.17	9122611	2009/12/21 0:00	30
13872	iSpQ Videochat	iSpQ9	http://dlsw.baidu.com/sw-search-sp/soft/7a/13872/iSpQ9.msi?version=767623903	9.1.25	14911488	2013/8/14 11:40	31
17424	EyeballChat	EyeballChat32	http://dlsw.baidu.com/sw-search-sp/soft/49/17424/EyeballChat32.msi?version=2548882426	3.2.5826.1	7494144	2013/8/12 14:34	26
