卓大师（刷机专家）	ZhuoDaShi_2.4.2.0
折子	zhezi_setup_ZHZI
云呼免费网络电话	CloudCall_cloudcall
有信	UXinClient_2.3.0.60
游戏罐头	youxiguantou_2.0.423.0
游戏茶苑	gametea_1.1.626.6146
优酷PC客户端	youkuclient
一起游乐棋牌	QYLobby_2.2.2.0
摇钱术智能财经终端	yqs_1.0
迅闪服务端	XsClient_3.2.0.10
熊猫识字	xmly5.0
新浪uc	SinaUC_Release_8.3.4.22616
新浪show	sinashow_setup
新浪微盘	VdiskforPC_2.0.1.46
阿里旺旺买家版	AliIM2013_taobao7.21.18C
王中王棋牌	WZWLobby_2.2.2.0
万能五笔输入法	wnwb_8.0.5.0
完美刷机	WMShuaSetup
豌豆荚	WanDouJia_2.62.0.3773
同花顺模拟炒股软件	THS_v8.30.43_20130814
跳舞吧多人视频	T58chat
甜椒刷机助手	TianJiaoSetupv3.2.4.1
淘宝浏览器	taobrowser-bc-ars
糖果浏览器	tango_2.0.0.1
唐人游	lobby_1.0.0.1
搜了通	51Sole_1.0.0.0
商机助理	alizhuli_5.2.6.30894
闪游浏览器	saayaasetup_3.25
赛猫购购	seemao_1.9.408.8207
人人桌面	rrsetup_4.67.1.63
拍大师	paidashi
蘑菇插件	mogusetup
米聊PC版	miliao-setup-100_1_PC
绿色童年	1
狸窝video系列软件	库里有17款
乐视网络电视	LeTV_setup
蓝光浏览器	blueview_1.2.1.81
快乐之都	1
酷屏	kuping_4.2.0.4
酷盘	Kanbox_2.3.6.438
酷点桌面	cooldock
健康上网专家	ftopt5_5.1.0.1001
简单游	Jdyou_1.0.0.1
简单课堂	ETClient_2.22.0.73
简单百宝箱	jdbbxsetup7
吉象游戏浏览器	jixiang_2.1.0.2500
火线魔盒	firbox_6.2.1
华天动力协同OA办公系统	TA3in1MYSQL5D_5.22
华股免费版	JRZD_1.0.0.2770
好桌道美化软件	Haozhuodao_V3.3.9.805_Beta
光影魔术手	NeoImagingSetup_4.2.1
股博士	GBS_3.9.1.741
够快	GoKuai_2.0.3.1
风行网络电视	FunshionInstall2.8.6.34
飞速土豆	tudouva_1.61.3.17
嘟嘟语音	dd3.0_setup
逗游	doyo2.6.1.809
定时关机3000	ShutDownSetup
电脑监控专家	2
彩云游戏浏览器	caiyun_setup_3.93
波克城市	pokercity_1.0.0.92
捕鱼达人	buyudaren2.0
必应缤纷桌面	BingDesktopSetup_1.2.126.0
必应词典	BingDict_2.2.0.1006
暴风看电影	BFVCenter_1.17.0520.1111
百度阅读器	baidureadersetup_1.2.0.407
百度影音浏览器	BaiduPlayer2.6.1.47
百度手机助手	Baidushoujizhushou_2.3
百度杀毒	Baidusd_Setup_1.1.0.448
百度快捷	BaiduKuaijie_1.0.0.1017
百度壁纸	bizhi_setup-bdwp-2_0_0_745-130
按键精灵	qm9chs_9.5.5.11965
安卓驱动	1
爱玩棋牌	AWLobbySetup
爱奇艺视频	QIYImedia_0_02
阿里旺旺卖家版	AliIM2013_2.0.0.1
阿里通网络电话	AlicallInstaller_1.0.0.1
Wise浏览器	wisebrowser_2.5.0.5
51vv视频社区	51vv_1.0.1546.416
UUSee网络电视	UUSee_down_Setup_2013
UP量化安全炒股卫士	UPSetup
RealPlayer	RealPlayer_cn_16.0.2.32
PPTV网络电视	pptvsetup_3.3.8.0029
PPS游戏大厅	ppsgame_1.0.2.14
WindowsLiveMessenger	Install_WLMessenger
LiveUC	activeuc_3.6.2.3
KC网络电话	Kc_Mini_2.0.1.0
JJ比赛	JJMatch_0.6.3.3
IconWorkshop	iconworkshop
HyperSnap截图软件	HS7_7.23.03
D3魔盒	D3Box_1.8
91有喜团网购大全	91xituan_1.0.0.5
91手机助手	91assistant_v3.3.5.1037
9158虚拟视频	9158VCamSetup_5.1.0.3
迅雷	Thunder_dl_7.9.8.4550
